Date : 2023-08-11 15:04:31
Directory : c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app
Total : 81 files,  2577 codes, 209 comments, 422 blanks, all 3208 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\test\widget_test.dart                                              | Dart       |         14 |         10 |          7 |         31 |
| c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\web\index.html                                                     | HTML       |         98 |         16 |         21 |        135 |
| c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\web\manifest.json                                                  | JSON       |         35 |          0 |          1 |         36 |
| c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\windows\flutter\generated_plugin_registrant.cc                     | C++        |         12 |          4 |          5 |         21 |
| c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\windows\flutter\generated_plugin_registrant.h                      | C++        |          5 |          5 |          6 |         16 |
| c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\windows\runner\flutter_window.cpp                                  | C++        |         48 |          4 |         15 |         67 |
| c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\windows\runner\flutter_window.h                                    | C++        |         20 |          5 |          9 |         34 |
| c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\windows\runner\main.cpp                                            | C++        |         30 |          4 |         10 |         44 |
| c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\windows\runner\resource.h                                          | C++        |          9 |          6 |          2 |         17 |
| c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\windows\runner\utils.cpp                                           | C++        |         54 |          2 |         10 |         66 |
| c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\windows\runner\utils.h                                             | C++        |          8 |          6 |          6 |         20 |
| c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\windows\runner\win32_window.cpp                                    | C++        |        210 |         24 |         55 |        289 |
| c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\windows\runner\win32_window.h                                      | C++        |         48 |         31 |         24 |        103 |
| Total                                                                                                                       |            |      2,577 |        209 |        422 |      3,208 |
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
